OMX-BOL-R3-16-1T-001: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-002: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-003: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-004: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-005: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-006: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-007: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-008: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-009: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-16-1T-010: cpu=R3-3200, ram=16, ssd=?, gpu=
OMX-BOL-R3-8-0-001: cpu=R3-3200, ram=8, ssd=?, gpu=
OMX-BOL-R3-8-0-002: cpu=R3-3200, ram=8, ssd=?, gpu=
OMX-BOL-R3-8-0-003: cpu=R3-3200, ram=8, ssd=?, gpu=
OMX-BOL-R3-8-0-004: cpu=R3-3200, ram=8, ssd=?, gpu=
OMX-BOL-R3-8-0-005: cpu=R3-3200, ram=8, ssd=?, gpu=
OMX-BOL-R3-8-0-006: cpu=R3-3200, ram=8, ssd=?, gpu=
OMX-BOL-R3-8-0-007: cpu=R3-3200, ram=8, ssd=?, gpu=
OMX-BOL-R5-16-0-001: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R5-16-0-002: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-003: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-004: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-0-005: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-006: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-007: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-008: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-009: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-010: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-011: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-012: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-013: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-014: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-015: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-016: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-017: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-018: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-019: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-020: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-021: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-022: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-023: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-024: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-025: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-026: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-027: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-028: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-029: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-030: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-031: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-032: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-033: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-034: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-035: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-036: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-037: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-038: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-039: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-040: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-041: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R5-16-0-042: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-043: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-044: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-0-045: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-046: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R5-16-0-047: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-048: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-049: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-0-050: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-051: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R5-16-0-052: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-053: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-054: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-0-055: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-056: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R5-16-0-057: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-058: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-059: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-0-060: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-061: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R5-16-0-062: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-063: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-064: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-0-065: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-066: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R5-16-0-067: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-068: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-0-069: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-0-070: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-512-001: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-512-002: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-512-003: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-512-004: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-512-005: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-512-006: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-512-007: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-512-008: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-16-512-009: cpu=R5-4500, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R5-16-512-010: cpu=R5-3400, ram=16, ssd=?, gpu=
OMX-BOL-R5-32-2T-001: cpu=R5-4500, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R5-32-2T-002: cpu=R5-4500, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-0-001: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-002: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-003: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-004: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-005: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-006: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-007: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-008: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-009: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-010: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-011: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-012: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-013: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-014: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-015: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-016: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-017: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-018: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-019: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-020: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-021: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-022: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-023: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-024: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-025: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-026: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-027: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-028: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-029: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-030: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-031: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-032: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-033: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-034: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-035: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-036: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-037: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-038: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-039: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-040: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-041: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-042: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-043: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-044: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-045: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-046: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-047: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-048: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-049: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-050: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-051: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-1T-001: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-002: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-003: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-004: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-005: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-006: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-007: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-008: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-009: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-512-001: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-002: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-003: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-512-004: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-005: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-512-006: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
